|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
8817|2013|Soldiers Inc.|0|0|0|0|0|Jay Watts|Murudai|Microsoft XNA|Windows, Mac OS X, Linux, Android, iOS|18|Open world, sandbox video game|Single-player|Solar series
8818|2013|Solidarność: Menedżer Konspiracji|0|0|0|0|0||||Browser|WW: 2013|Massively multiplayer online real-time strategy game (MMORTS)||
8819|2013|Sonic Dash|0|0|0|0|0||||||||
8820|2013|Sonic Lost World|0|0|0|0|0|Hardlight|Sega|Unity[1]|iOSAndroidWindows Phone (discontinued)Microsoft Windows (discontinued)arcade|18|Endless runner, platformer|Single-player, multiplayer|Sonic the Hedgehog
8821|2013|Sonic: After the Sequel|0|0|0|0|0|Sonic TeamDimps (3DS)|JP/NA: SegaEU/AUS: Nintendo[1]||Wii UNintendo 3DSMicrosoft Windows|61|Action-adventure, platformer|Single-player, multiplayer|Sonic the Hedgehog
8822|2013|Sorcery Saga: Curse of the Great Curry God|0|0|0|0|0|LakeFeperd (Felipe Daneluz)|LakeFeperd|Sonic Worlds (Multimedia Fusion 2)|Microsoft Windows|34|Platform|Single-player|Sonic the Hedgehog (unofficially)
8823|2013|Sorcery! (video game)|0|0|0|0|0|Compile Heart[1]ZeroDiv[2]|JP: Compile HeartNA: Aksys GamesEU: Rising Star Games Microsoft WindowsWW: Ghostlight||PlayStation VitaMicrosoft Windows|9|Role-playing[2]||
8824|2013|Soul Sacrifice (video game)|0|0|0|0|0||||iOS, Android, Microsoft Windows, OS X|30|||
8825|2013|Space Hulk (2013 video game)|0|0|0|0|0|Marvelous AQLSCE Japan Studio|Sony Computer Entertainment||PlayStation Vita|18|Action role-playing|Single-player, multiplayer|
8826|2013|Spartacus Legends|0|0|0|0|0|Full Control|Full ControlFunbox Media (PS Vita)|Unity|Microsoft Windows, Mac OS X, Linux, iOS, Wii U, PlayStation 3, PlayStation 4, PlayStation Vita|1|Turn-based tactics||Warhammer 40,000
8827|2013|Sparx (video game)|0|0|0|0|0|Kung Fu Factory|Ubisoft||PlayStation 3, Xbox 360|34|Fighting|Single-player, multiplayer|
8828|2013|SpongeBob Moves In!|0|0|0|0|0||||Computer and mobile|34|Fantasy game|Single-player|
8829|2013|SpongeBob SquarePants: Plankton's Robotic Revenge|0|0|0|0|0|Kung Fu Factory|Nickelodeon||iOS, Android|34|City-building|Single-player|
8830|2013|The Stanley Parable|0|2|0|['Best Independent Game', 'Best PC Game']|0|"Behaviour Interactive
Engine Software (DS)"|Activision||Wii UWiiNintendo 3DSNintendo DSPlayStation 3Xbox 360|61|Action-adventure, platformer, third-person shooter|Single-player, multiplayer|SpongeBob SquarePants
8831|2013|Star Command (2013 video game)|0|0|0|0|0|Galactic Cafe|Galactic Cafe|Original versionSourceUltra DeluxeUnity|Microsoft WindowsOS XLinux|51|Interactive story|Single-player|
8832|2013|Star Trek (2013 video game)|0|0|0|0|0|Star Command, LLC||Cocos2d|iOS, Android|30|Simulation game, Role-playing game|Single player|
8833|2013|Star Wars: Tiny Death Star|0|0|0|0|0|Digital Extremes|Namco Bandai Games|Evolution Engine |PlayStation 3, Xbox 360, Microsoft Windows|24|Action-adventure, third-person shooter|Single-player, multiplayer|
