|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
9476|2014|Threes|0|1|0|Best Mobile/Handheld Game|0|11 bit studiosWar Child (Android & iOS)|11 bit studios|||January|Survival|Single-player|
9478|2014|Titanfall|1|3|Most Anticipated Game|['Most Anticipated Game', 'Best Online Experience', 'Best Shooter']|0||Wired Productions|||November|Twin-stick shooter||
9489|2014|Trials Fusion|0|1|0|Best Sports/Racing Game|0|||||July|Platformer||
9496|2014|Valiant Hearts: The Great War|2|2|['Best Narrative', 'Games for Change']|['Best Narrative', 'Games for Change']|0|Rogue Games, Inc.|Rogue Games, Inc.|||February|MOBA|Multiplayer |
9498|2014|The Vanishing of Ethan Carter|0|1|0|Best Independent Game|0|Cucuri|||iOS, Android||Mystery||
9509|2014|Watch Dogs|0|1|0|Most Anticipated Game|0|inXile Entertainment|Deep Silver|Unity[6]||September|Role-playing|Single-player|Wasteland 
9518|2014|Wolfenstein: The New Order|0|2|0|['Best Narrative', 'Best Shooter']|0|MiniVisions|MiniVisions|||January|Platformer|Single-player, multiplayer|
9571|2015|Assassin's Creed Syndicate|0|1|0|Best Action/Adventure|0|Climax Studios|Ubisoft|Unreal Engine 3||January|Action-adventure, stealth|Single-player|Assassin's Creed
9578|2015|Axiom Verge|0|1|0|Best Independent Game|0|Sketchy Logic|Sketchy Logic|Construct 2||December|Adventure game|Single-player|
9581|2015|Batman: Arkham Knight|0|3|0|['Best Action/Adventure', 'Best Art Direction', 'Best Performance']|0|No Pest Productions|No Pest Productions|||May|Action-adventure||
9595|2015|Bloodborne|0|3|0|['Best Art Direction', 'Best Role Playing Game', 'Game of the Year']|0|Cyanide|Focus Home Interactive|||September|Sports, turn-based strategy|Single-player, multiplayer|Warhammer Fantasy
9606|2015|Call of Duty: Black Ops III|0|2|0|['Best Multiplayer', 'Best Shooter']|0||Incandescent Imaging|Unreal Engine 4||October|Survival horror|Single-player|
9647|2015|Destiny: The Taken King|0|2|0|['Best Multiplayer', 'Best Shooter']|0|Bungie|Activision|||December|Action role-playing, first-person shooter|Multiplayer|
9656|2015|Disney Infinity 3.0|0|1|0|Best Family Game|0|Nippon Ichi Software|JP: Nippon Ichi SoftwareWW: NIS America|||March|Tactical role-playing|Single-player|Disgaea
9693|2015|Fallout 4|0|3|0|['Best Role Playing Game', 'Best Score/Soundtrack', 'Game of the Year']|0|Codemasters Birmingham|Codemasters Racing Feral Interactive (Linux)|EGO Engine 3.0||July|Racing|Single-player |Formula One
9694|2015|Fallout Shelter|0|1|0|Best Mobile/Handheld Game|0|Bethesda Game Studios|Bethesda Softworks|Creation Engine||November|Action role-playing|Single-player|Fallout
9703|2015|FIFA 16|0|1|0|Best Sports/Racing Game|0||Finji Games|Unity||July|Action|Single-player |
9708|2015|Fire Emblem Fates|0|2|0|['Best Mobile/Handheld Game', 'Best Strategy Game']|0|Square Enix Business Division 5|Square Enix|||June|MMORPG|Multiplayer|Final Fantasy
9716|2015|Forza Motorsport 6|0|1|0|Best Sports/Racing Game|0|Sports Interactive|Sega|||November|Sports, business simulation||Football Manager
9737|2015|Halo 5: Guardians|0|3|0|['Best Multiplayer', 'Best Score/Soundtrack', 'Best Shooter']|0|Team Fractal Alligator|Fellow Traveller|||August|Simulation|Single-player|
9796|2015|Lara Croft Go|1|1|Best Mobile/Handheld Game|Best Mobile/Handheld Game|0|Masaya Games|JP: Extreme GamesNA: Aksys Games[1]|||April|Tactical role-playing game|Single player|Langrisser
9807|2015|Lego Dimensions|0|1|0|Best Family Game|0|Aterdux Entertainment|Aterdux Entertainment|Aterdux Engine 9||July|Role-playing|Single-player|
9812|2015|Life Is Strange|2|3|['Best Performance', 'Games for Impact']|['Best Narrative', 'Best Performance', 'Games for Impact']|0|Bitbox Ltd.||Feudal Engine (Modified Torque 3D Version 1.1)||November|Online role-playing video game, Sandbox||
9838|2015|Metal Gear Solid V: The Phantom Pain|2|4|['Best Action/Adventure', 'Best Score/Soundtrack']|['Best Action/Adventure', 'Best Art Direction', 'Best Score/Soundtrack', 'Game of the Year']|0|Compile Heart|Idea Factory|||September|Dungeon crawler role-playing||Makai Ichiban Kan
9854|2015|Monster Hunter Generations|0|1|0|Best Mobile/Handheld Game|0|Compile Heart|JP: Compile HeartAS: Sony Computer Entertainment|||September|Role-playing||Genkai Tokki
9857|2015|Mortal Kombat X|1|1|Best Fighting Game|Best Fighting Game|0|Rogue Factor|Focus Home Interactive|||October|Tactical role-playing game|Multiplayersingle-player |Warhammer Fantasy
9866|2015|NBA 2K16|0|1|0|Best Sports/Racing Game|0|Tamsoft|D3 Publisher|||June|Stealth, Action-adventure|Single-player|
9888|2015|Ori and the Blind Forest|1|4|Best Art Direction|['Best Action/Adventure', 'Best Art Direction', 'Best Independent Game', 'Best Score/Soundtrack']|0|Ready at Dawn[1]|Sony Computer Entertainment|||February|Action-adventure[4]|Single-player|
9891|2015|Pac-Man 256|0|1|0|Best Mobile/Handheld Game|0|Black Shell Games|Black Shell Media|||January|Roguelike|Single-player|
9902|2015|Pillars of Eternity|0|1|0|Best Role Playing Game|0|||||February|Puzzle|Single-player |
9912|2015|Pokkén Tournament|0|1|0|Best Fighting Game|0|Spike Chunsoft|NintendoThe Pokémon Company|||February|Roguelike|Single-player|Pokémon Mystery Dungeon
9918|2015|Pro Evolution Soccer 2016|0|1|0|Best Sports/Racing Game|0|Introversion Software (2015−19)Double Eleven (2019−)|Introversion Software (2015−2019)Paradox Interactive (tablet version)Double Eleven (console version)Paradox Interactive (2019−)|||May|Construction and management simulation|Single-player, multiplayer|
9927|2015|Tom Clancy's Rainbow Six Siege|0|3|0|['Best Multiplayer', 'Best Ongoing Game', 'Best Ongoing Game']|0|Atypical Games|Atypical Games|||January|Action-adventure, survival|Single-player|
9942|2015|Rise of Incarnates|0|1|0|Best Fighting Game|0|Milestone srl|Milestone srl|||March|Racing|Single-player, multiplayer|
9943|2015|Rise of the Tomb Raider|0|2|0|['Best Action/Adventure', 'Best Performance']|0|Bandai Namco Entertainment|Bandai Namco Entertainment|Orochi 3||July|Fighting|Multiplayer|
9947|2015|Rocket League|2|3|['Best Independent Game', 'Best Sports/Racing Game']|['Best Independent Game', 'Best Multiplayer', 'Best Sports/Racing Game']|0|Harmonix|Harmonix|||October|Rhythm game|Single-player, multiplayer|Rock Band
9981|2015|Skylanders: SuperChargers|0|1|0|Best Family Game|0||My.com|||April|Massively multiplayer online role-playing game|Multiplayer|
9994|2015|Splatoon|2|3|['Best Multiplayer', 'Best Shooter']|['Best Family Game', 'Best Multiplayer', 'Best Shooter']|0|Tiger Style|Tiger Style|Unity||August|Puzzle|Single-player|
10019|2015|Super Mario Maker|1|2|Best Family Game|['Best Family Game', 'Game of the Year']|0|Tale of Tales|Tale of Tales|Unity||NA: 2015-05-21EU: 2015-05-21|Adventure, interactive storytelling|Single-player|
10032|2015|Tekken 7|0|1|0|Best Fighting Game|0|Technocrat Games|Wadjet Eye Games|Adventure Game Studio||May|Adventure game|Single-player|
10060|2015|Undertale|0|3|0|['Best Independent Game', 'Best Role Playing Game', 'Games for Impact']|0|Stygian Software|Stygian Software|||December|Role-playing|Single-player|
10062|2015|Until Dawn|0|1|0|Best Narrative|0|Madfinger Games|Madfinger Games|Unity||September|FPS, RPG|Single-player, Multiplayer|
10084|2015|The Witcher 3: Wild Hunt|3|7|['Best Role Playing Game', 'Game of the Year', 'Best Role Playing Game']|['Most Anticipated Game', 'Best Art Direction', 'Best Narrative', 'Best Performance', 'Best Role Playing Game', 'Best Score/Soundtrack', 'Game of the Year']|1|Joe Williams|Joe Williams|||December||Single-player, multiplayer|
10098|2015|Xenoblade Chronicles X|0|1|0|Best Role Playing Game|0|Arc System Works|JP: Arc System WorksNA: Aksys Games|||April|Visual novel|Single-player|BlazBlue
10115|2016|1979 Revolution: Black Friday|0|1|0|Games for Impact|0|No Goblin|No Goblin|||March|Sports|Single-player, multiplayer|
10117|2016|Abzû|0|1|0|Best Art Direction|0|Modesty||||March|Shoot 'em up|Single-player, cooperative|
10158|2016|The Banner Saga 2|0|1|0|Best Strategy Game|0|Beamdog|Beamdog|Infinity Engine||March|Role-playing|Single-player, multiplayer|Baldur's Gate
10159|2016|Batman: Arkham VR|0|1|0|Best VR Game|0|Stoic Studio|Versus Evil|||April|Tactical role-playing|Single-player|
10165|2016|Battlefield 1|0|3|0|['Best Action Game', 'Best Multiplayer', 'Best Music/Sound Design']|0|Gearbox Software|2K Games|Unreal Engine 3||May|First-person shooter|Single-player, multiplayer|
10195|2016|Civilization VI|1|1|Best Strategy Game|Best Strategy Game|0||||||||
10196|2016|Clash Royale|0|1|0|Best Mobile/Handheld Game|0|Firaxis Games|2K Games|||February|Turn-based strategy, 4X|Single-player, multiplayer|Civilization
10212|2016|Dark Souls III|0|1|0|Best Role Playing Game|0|Compile Heart|Idea Factory|||April|Role-playing|Single-player|
10228|2016|Deus Ex: Mankind Divided|0|1|0|Best Role Playing Game|0|Square Enix Montreal|Square Enix|Unity[1]||August|Puzzle|Single-player|Deus Ex
10231|2016|Dishonored 2|1|1|Best Action/Adventure|Best Action/Adventure|0|B.B. Studio[1]|Bandai Namco Entertainment|Unity[2]||January|Role-playing|Single-player|Digimon
10238|2016|Dragon Quest Builders|0|1|0|Best Family Game|0|Dimps|Bandai Namco Entertainment|||September|Fighting, role-playing|Single-player, multiplayer|Dragon Ball
10264|2016|Eve: Valkyrie|0|1|0|Best VR Game|0|Atlus|JP: AtlusNA: Atlus USAPAL: Deep Silver|||August|Role-playing, dungeon crawler|Single-player|Etrian Odyssey
10278|2016|FIFA 17|0|1|0|Best Sports/Racing Game|0|Marvelous|Xseed GamesJP: Marvelous|||January|Action|Single-player|
10280|2016|Final Fantasy XV|0|1|0|Best Role Playing Game|0|EA MobileEA Canada|EA Sports|||October|Sports|Single-player, multiplayer|FIFA
10283|2016|Firewatch|0|4|0|['Best Art Direction', 'Best Independent Game', 'Best Narrative', 'Best Performance']|0|Do My Best Games|tinyBuild|Unity||February|Side-scrolling shooter, train simulator|Single-player|
10289|2016|Forza Horizon 3|1|1|Best Sports/Racing Game|Best Sports/Racing Game|0||BetaDwarf|Unity||March|Action role-playing|Single-player|
10297|2016|Gears of War 4|0|2|0|['Best Action Game', 'Best Multiplayer']|0|Playrix|PlayrixPlarium|||January|Puzzle|Single-player|
10331|2016|Hyper Light Drifter|0|2|0|['Best Action/Adventure', 'Best Independent Game']|0|No Brakes Games[a]|Curve Digital[b]|Unity||May|Platform-puzzle|Single-player, multiplayer|
10343|2016|Job Simulator|0|1|0|Best VR Game|0|Ludosity|Nicalis|||November|Action-adventure, role-playing|Single-player|
10354|2016|The King of Fighters XIV|0|1|0|Best Fighting Game|0|||||December|"
Adventure game
"|Single-playerMultiplayer|
10362|2016|The Last Guardian|0|1|0|Most Anticipated Game|0||Noxy Games, Inc|Unity||June|Music, rhythm|Single-player|
10368|2016|Lego Star Wars: The Force Awakens|0|1|0|Best Family Game|0|Traveller's TalesTT Fusion (handheld)|Warner Bros. Interactive EntertainmentFeral Interactive (OS X)|||January|Action-adventure|Single-player, multiplayer|
10382|2016|Mafia III|0|2|0|['Best Narrative', 'Best Performance']|0|EA Tiburon|EA Sports|Ignite||August|Sports|Single-playerMultiplayer|Madden NFL
10400|2016|MLB The Show 16|0|1|0|Best Sports/Racing Game|0|EA DICE|Electronic Arts|Frostbite 3||June|Action-adventure, platform|Single-player, multiplayer|
10404|2016|Monster Hunter Stories|0|1|0|Best Handheld Game|0|Bombservice|Playism, Dangen Entertainment|GameMaker Studio||January|Metroidvania|Single-player|Momodora
10415|2016|NBA 2K17|0|1|0|Best Sports/Racing Game|0|Monster Games|Dusenberry Martin Racing|Unity||September|Racing, Sports|Single player, multiplayer|
10436|2016|Overcooked|1|1|Best Family Game|Best Multiplayer|0|Osmotic|Fellow Traveller |Unity||October|Simulation|Single-player|
10439|2016|Oxenfree|0|1|0|Best Narrative|0|D-Pad Studio|D-Pad Studio|XNA||January|Platform-adventure|Single-player|
10444|2016|Persona 5|1|4|Best Role Playing Game|['Best Art Direction', 'Best Role Playing Game', 'Best Score/Music', 'Game of the Year']|0|Giant Margarita|Giant Margarita|Unity||May|Party Game, Sports Game|Single-player, multiplayer|
10457|2016|Pokémon Go|2|2|['Best Family Game', 'Best Mobile/Handheld Game']|['Best Family Game', 'Best Mobile/Handheld Game']|0|Heroz|The Pokémon Company|||January|Board gameSingle / dual player||Pokémon
10468|2016|Pro Evolution Soccer 2017|0|1|0|Best Sports/Racing Game|0|Vertigo Arts|Atari, Inc.|||January|Social simulation|Single-player, Multiplayer|
10506|2016|Sea Hero Quest|0|1|0|Games for Impact|0|Flazm|Flazm|||May|Puzzle, platformer, adventure|Single-player|
10526|2016|Skylanders: Imaginators|0|1|0|Best Family Game|0|Maxis Redwood Shores|Electronic Arts|||June|Life simulation|Single-player|The Sims
10548|2016|Stardew Valley|0|1|0|Best Independent Game|0|Blizzard Entertainment|Blizzard Entertainment|||March|Real-time strategy|Single-player|StarCraft
10561|2016|Street Fighter V|1|1|Best Fighting Game|Best Fighting Game|0|Marvelous|JP: MarvelousNA: Marvelous USAEU: Nintendo|||February|Farm simulation, role-playing|Single-player|Story of Seasons
10564|2016|Super Mario Run|0|1|0|Best Mobile Game|0|React Games|Wired Productions|Unity 5||November|Action role-playing  Hack and slash|Single-player, multiplayer|
10581|2016|That Dragon, Cancer|1|1|Games for Impact|Games for Impact|0|Choice Provisions|Choice Provisions|Unity||January|Strategy|Single-player|
10593|2016|Titanfall 2|0|3|0|['Best Action Game', 'Best Multiplayer', 'Game of the Year']|0||Gamesco|||January|Massively multiplayer online role-playing game|Multiplayer|
10598|2016|Total War: Warhammer|0|1|0|Best Strategy Game|0||Sony Interactive Entertainment|||October|Action||
10616|2016|Uncharted 4: A Thief's End|2|5|['Best Narrative', 'Best Performance']|['Best Action/Adventure', 'Best Art Direction', 'Best Narrative', 'Best Performance', 'Game of the Year']|0|Capcom|Capcom|Unity||June|Tactical shooter|Single-player, multiplayer|Resident Evil
10639|2016|The Witcher 3: Wild Hunt – Blood and Wine|1|1|Best Role Playing Game|Best Role Playing Game|0|Webzen/Onnet|Bandai Namco Entertainment America|CryEngine||October|Golf, Sports, MMORPG||
10643|2016|World of Warcraft: Legion|0|1|0|Best Role Playing Game|0|"
Tose
Square Enix Business Division 3
"|Square Enix|Orochi 3||October|Role-playing|Single-player|Final Fantasy
10647|2016|XCOM 2|0|1|0|Best Strategy Game|0|Yuke's[a]|2K Sports|||February|Sports|Single-player, multiplayer|WWE 2K
10714|2017|Call of Duty: WWII|0|1|0|Best Multiplayer|0|HAL Laboratory|Nintendo|||February|Puzzle platformer|Single-player|
10739|2017|Cuphead|3|5|['Best Art Direction', 'Best Debut Indie Game', 'Best Independent Game']|['Best Action Game', 'Best Art Direction', 'Best Debut Indie Game', 'Best Independent Game', 'Best Score/Music']|0|Xaviant|Xaviant|Unreal Engine 4||October|Actionbattle royale|Multiplayer|
10757|2017|Destiny 2|0|6|0|['Best Action Game', 'Best Art Direction', 'Best Audio Design', 'Best Multiplayer', 'Best Ongoing Game', 'Best Score/Music']|0|megazebra|MegaZebra|||June|Casual, role-playing game||
10768|2017|Divinity: Original Sin II|0|1|0|Best Role Playing Game|0||Alawar|Unity||August|Strategy, survival|single player, multiplayer|
10773|2017|Dragon Quest XI|0|1|0|Best Role Playing Game|0|Arc System Works|Arc System Works|Unity||January|Beat 'em up|Single-player, multiplayer|Double Dragon
10791|2017|Ever Oasis|0|1|0|Best Handheld Game|0|Mouldy Toof Studios Team17|Team17|Unity||January|Strategy, role-playing|Single-player, multiplayer|
10805|2017|FIFA 18|0|1|0|Best Sports/Racing Game|0|Shin'en Multimedia|Shin'en Multimedia[1]|||March|Racing|Single-player, multiplayer|
10810|2017|Fire Emblem Echoes: Shadows of Valentia|0|1|0|Best Handheld Game|0|Freebird Games|Freebird Games|RPG Maker XP||December|Adventure, role-playing|Single-player|
10811|2017|Fire Emblem Heroes|0|1|0|Best Mobile Game|0|Intelligent Systems|Nintendo|||April|Tactical role-playing|Single-player|Fire Emblem
10823|2017|Forza Motorsport 7|1|1|Best Sports/Racing Game|Best Sports/Racing Game|0|EarthWork Games|EarthWork Games|||April|Real-time strategy|Single-player, multiplayer|
10841|2017|Golf Story|0|1|0|Best Debut Indie Game|0|Kadokawa Games|JP: Kadokawa GamesWW: NIS America|||June|Tactical role-playing|Single-player|
10845|2017|Gran Turismo Sport|0|1|0|Best Sports/Racing Game|0||Vertex Pop|||April|Shoot 'em up|Single-player |
10854|2017|Halo Wars 2|0|1|0|Best Strategy Game|0|Nippon Ichi Software|Nippon Ichi Software|Unreal Engine 4||July|Tactical role-playing, sandbox|Single-player|
10858|2017|Hellblade: Senua's Sacrifice|3|5|['Best Audio Design', 'Best Performance', 'Games for Impact']|['Best Audio Design', 'Best Independent Game', 'Best Narrative', 'Best Performance', 'Games for Impact']|0|Suspicious Developments|Suspicious Developments|GameMaker Studio[1]||September|Action, stealth|Single-player|
10864|2017|Hidden Folks|0|1|0|Best Mobile Game|0|Supermassive Games|Sony Interactive Entertainment|Unreal Engine 4||October|Adventureinteractive movie|Single-player, multiplayer|
10868|2017|Hollow Knight|0|1|0|Best Debut Indie Game|0|Runic Games|Runic Games|OGRE[1]||April|Action-adventure||
10871|2017|Horizon Zero Dawn|0|6|0|['Best Action/Adventure', 'Best Art Direction', 'Best Game Direction', 'Best Narrative', 'Best Performance', 'Game of the Year']|0|Playrix|Playrix|||August|Puzzle|Single-player|
10878|2017|Injustice 2|1|1|Best Fighting Game|Best Fighting Game|0||||||Mecha,[1] romantic comedy[2]harem[3]||
10901|2017|The Legend of Zelda: Breath of the Wild|3|6|['Best Action/Adventure', 'Best Game Direction', 'Game of the Year']|['Best Action/Adventure', 'Best Art Direction', 'Best Audio Design', 'Best Game Direction', 'Best Score/Music', 'Game of the Year']|1|Nihon Falcom|JP: Nihon FalcomWW: NIS America|||September|Role-playing|Single-player|The Legend of Heroes
10911|2017|Lone Echo|0|1|0|Best VR/AR Game|0|A+ Games|Bandai Namco Entertainment|Unity||May|Action role-playing||
10924|2017|Mario + Rabbids Kingdom Battle|1|2|Best Strategy Game|['Best Family Game', 'Best Strategy Game']|0||Merge Games|GameMaker Studio||January|Puzzle, point and click adventure, simulation|Multiplayer|
10927|2017|Marvel vs. Capcom: Infinite|0|1|0|Best Fighting Game|0|Bandai Namco StudiosCamelot Software Planning|Nintendo|||March|Sports|Single-player, multiplayer|Mario sports
10933|2017|Metroid: Samus Returns|1|1|Best Handheld Game|Best Handheld Game|0|||||August|Action|Single-player|
10945|2017|Monument Valley 2|1|1|Best Mobile Game|Best Mobile Game|0|Square Enix Business Division 2|Square Enix|||November|Simulation|Single-player|"
Final Fantasy
Fabula Nova Crystallis
"
10949|2017|Mr. Shifty|0|1|0|Best Debut Indie Game|0|||||January|Interactive movie, murder mystery||
10953|2017|NBA 2K18|0|1|0|Best Sports/Racing Game|0|Monster Games|704Games|||September|Racing|Single-player, multiplayer|NASCAR
10962|2017|Nidhogg 2|0|1|0|Best Fighting Game|0||Stray Fawn Studio|||September||Simulation|
10963|2017|Nier: Automata|1|3|Best Score/Music|['Best Narrative', 'Best Role Playing Game', 'Best Score/Music']|0|Messhof|Messhof|GameMaker: Studio||August|Fighting|Single-player, multiplayer|
10964|2017|Night in the Woods|0|2|0|['Best Independent Game', 'Games for Impact']|0|PlatinumGames|Square Enix|||February|Action role-playing, hack and slash|Single-player|Drakengard
10966|2017|Nioh|0|1|0|Best Action Game|0|Gust|Koei Tecmo|||February|Action role-playing|Single-player|
10971|2017|Old Man's Journey|0|1|0|Best Mobile Game|0|Okidokico Entertainment Inc|"iOS: Okidokico Entertainment Inc
Android: Playdigious"|||February|Golf video game ||
10989|2017|PlayerUnknown's Battlegrounds|1|3|Best Multiplayer|['Best Multiplayer', 'Best Ongoing Game', 'Game of the Year']|0|The Imaginati Studios|FoxNextThe ImaginariumCreative England|Unreal Engine||August|Interactive fiction|Single-playerMultiplayer|Planet of the Apes
10999|2017|Pro Evolution Soccer 2018|0|1|0|Best Sports/Racing Game|0|Arkane Studios|Bethesda Softworks|CryEngine||May|First-person shooter, immersive sim|Single-player, multiplayer|
11016|2017|Resident Evil 7: Biohazard|1|3|Best VR/AR Game|['Best Audio Design', 'Best Game Direction', 'Best VR/AR Game']|0|FuRyu|||Android, iOS||||
11044|2017|Slime Rancher|0|1|0|Best Debut Indie Game|0|Right Nice GamesGrip Digital[1][2]|Grip Digital|Unreal Engine 4[3][4]||May|3D platformer|Single-player|
11053|2017|Sonic Mania|0|1|0|Best Family Game|0|Sonic Team|Sega|||November|Platform|Single-player|Sonic the Hedgehog
11062|2017|Splatoon 2|0|2|0|['Best Family Game', 'Best Multiplayer']|0|Saber Interactive, Oovee Game Studios|Focus Home Interactive|Havok||October||Single-player, online co-op|Spintires
11065|2017|Star Trek: Bridge Crew|0|1|0|Best VR/AR Game|0|Nintendo EADArgonaut Software|Nintendo|||September|Multidirectional shooter, real time strategy|Single-player, multiplayer|Star Fox
11086|2017|Super Mario Odyssey|1|6|Best Family Game|['Best Action/Adventure', 'Best Audio Design', 'Best Family Game', 'Best Game Direction', 'Best Score/Music', 'Game of the Year']|0|Playful Corp.|"Microsoft Studios (Xbox One, PC)
NA: Playful Corp. (Switch)EU: PQube (Switch)"|Unity||November|Platform|Single-player|
11096|2017|Tekken 7|0|1|0|Best Fighting Game|0|M2HBlackmill Games|M2HBlackmill Games|Unity||November|First-person shooter||
11108|2017|Tooth and Tail|0|1|0|Best Strategy Game|0|Ubisoft Paris[a]|Ubisoft|AnvilNext 2.0[2]||March|Tactical shooter|Single-player, multiplayer|Tom Clancy's Ghost Recon
11110|2017|Total War: Warhammer II|0|1|0|Best Strategy Game|0|inXile Entertainment|Techland Publishing[1]|Unity[2]||February|Role-playing|Single-player|
11118|2017|Uncharted: The Lost Legacy|0|2|0|['Best Action/Adventure', 'Best Performance']|0|Capcom|Capcom|||May|Fighting|Single-player, multiplayer|Street Fighter
11135|2017|What Remains of Edith Finch|1|3|Best Narrative|['Best Independent Game', 'Best Narrative', 'Games for Impact']|0|Asymmetric Publications|Asymmetric Publications|Unity||May|Role-playing|Single-player|
11139|2017|Wolfenstein II: The New Colossus|1|4|Best Action Game|['Best Action Game', 'Best Game Direction', 'Best Narrative', 'Best Performance']|0|Nippon Ichi Software|JP: Nippon Ichi SoftwareAS: SegaWW: NIS America|||February|Action role-playing game|Single-player|
11145|2017|XCOM 2: War of the Chosen|0|1|0|Best Strategy Game|0|Yuke's[a]|2K Sports|||March|Sports|Single-player, multiplayer|WWE 2K
11175|2018|Assassin's Creed Odyssey|0|4|0|['Best Action/Adventure Game', 'Best Art Direction', 'Best Performance', 'Game of the Year']|0|Gameloft Barcelona|Gameloft|Jet Engine||July|Racing|Single-player, online multiplayer|Asphalt
11176|2018|Astro Bot Rescue Mission|1|1|Best VR/AR Game|Best VR/AR Game|0|Ubisoft Quebec[a]|Ubisoft|AnvilNext 2.0||October|Action role-playing, stealth|Single-player|Assassin's Creed
11182|2018|The Banner Saga 3|0|1|0|Best Strategy Game|0|Bandai Namco Entertainment|||||Fishing||
11187|2018|Beat Saber|0|1|0|Best VR/AR Game|0|Harebrained Schemes|Paradox Interactive|Unity||April|Turn-based strategy|Single-player, multiplayer|BattleTech
11194|2018|BlazBlue: Cross Tag Battle|0|1|0|Best Fighting Game|0|Studio Saizensen|WW: NicalisJP: Pikii|||August|Fighting|Single-player, multiplayer|
11203|2018|Call of Duty: Black Ops 4|0|3|0|['Best Action Game', 'Best Audio Design', 'Best Multiplayer Game']|0|Cyanide|Focus Home Interactive|Unreal Engine 4||October|Role-playing, survival horror|Single-player|
11232|2018|Dead Cells|1|2|Best Action Game|['Best Action Game', 'Best Independent Game']|0|Bohemia Interactive|Bohemia Interactive|||March|First-person shooter, third-person shooter, survival|Multiplayer|
11239|2018|Destiny 2: Forsaken|0|3|0|['Best Action Game', 'Best Multiplayer Game', 'Best Ongoing Game']|0||Activision (2017–2019)Bungie (2019–present)|||December|Action role-playing, first-person shooter|Multiplayer|
11240|2018|Detroit: Become Human|0|3|0|['Best Game Direction', 'Best Narrative', 'Best Performance']|0|Bungie|Activision|||September|Action role-playing, first-person shooter|Multiplayer|Destiny 
11243|2018|Donut County|0|2|0|['Best Debut Indie Game', 'Best Mobile Game']|0|Granzella|"JP: Granzella
WW: NIS America"|Unreal Engine 4||September|Action-adventure|Single-player|
11245|2018|Dragon Ball FighterZ|1|1|Best Fighting Game|Best Fighting Game|0|Cygames|Nintendo|||September|Action role-playing|Single-player, multiplayer|
11262|2018|Far Cry 5|0|1|0|Best Action Game|0|Bethesda Game Studios[a]|Bethesda Softworks|Creation Engine||November|Action role-playing|Multiplayer|Fallout
11266|2018|FIFA 19|0|1|0|Best Sports/Racing Game|0|Sushee|Forever Entertainment|||March|Role-playing, third-person shooter|Single-player|Fear Effect
11270|2018|Firewall: Zero Hour|0|1|0|Best VR/AR Game|0|Square EnixXPEC EntertainmentSummerTimeStudio|Square Enix|Unity||February|Role-playing|Single-player|
11279|2018|Forza Horizon 4|1|2|Best Sports/Racing Game|['Best Audio Design', 'Best Sports/Racing Game']|0|Epic Games[1]|Epic Games[1]|Unreal Engine 4||December|Sandbox|Single-player, Multiplayer|Fortnite
11282|2018|Frostpunk|0|1|0|Best Strategy Game|0|Blue Wizard Digital|Blue Wizard Digital|||January|HorrorPuzzle game|Single-player|Friday the 13th
11289|2018|God of War (2018 video game)|3|8|['Best Action/Adventure Game', 'Best Game Direction', 'Game of the Year']|['Best Action/Adventure Game', 'Best Art Direction', 'Best Audio Design', 'Best Game Direction', 'Best Narrative', 'Best Performance', 'Best Score/Music', 'Game of the Year']|1|Marvelous First Studio|Bandai Namco Entertainment|||February|Action role-playing|Single-player, multiplayer|God Eater
11313|2018|Into the Breach|1|2|Best Strategy Game|['Best Independent Game', 'Best Strategy Game']|0||Focus Home Interactive|Unreal Engine 4||December|Tactical shooter|Multiplayer|
11337|2018|Life Is Strange 2|0|2|0|['Best Narrative', 'Games for Impact']|0|Nippon Ichi Software|Nippon Ichi Software|||February|Action-adventure|Single-player|
11344|2018|Mario Tennis Aces|0|2|0|['Best Family Game', 'Best Sports/Racing Game']|0|Simon Roth||||November|Strategy, simulation, god game, dungeon management game||
11346|2018|Mega Man 11|0|1|0|Best Action Game|0||FoxNext|Unity[1]||March|Role-playing|Single-player, multiplayer|
11355|2018|The Missing: J.J. Macfield and the Island of Memories|0|1|0|Games for Impact|0|JW, Kitty, Jukio, and Dom|Devolver Digital|GameMaker: Studio||April|Adventure|Single-player|
11358|2018|Monster Hunter: World|1|3|Best Role Playing Game|['Best Multiplayer Game', 'Best Role Playing Game', 'Game of the Year']|0|Game Atelier|FDG Entertainment|||July|Platform|Single player|
11367|2018|NBA 2K19|0|1|0|Best Sports/Racing Game|0|Monster Games|704Games|Unity||September|Racing|Single-player, multiplayer|NASCAR Heat
11372|2018|Ni no Kuni II: Revenant Kingdom|0|2|0|['Best Role Playing Game', 'Best Score/Music']|0|EA Vancouver|EA Sports|Ignite||September|Sports|Single-player, multiplayer|NHL
11376|2018|Octopath Traveler|0|3|0|['Best Art Direction', 'Best Role Playing Game', 'Best Score/Music']|0|PanicBarn|No More Robots|Unity||August|Adventure, role-playing||
11382|2018|Overcooked 2|1|1|Best Family Game|Best Family Game|0|Codemasters Evo|Deep Silver|||June|Vehicular combat|Single-player, multiplayer|
