|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
5308|2009|Guitar Hero 5|0|3|0|['Best Music Game', 'Best Soundtrack', 'Best Soundtrack']|0|Neversoft[1][a]|Activision|||September|Music, Rhythm|Single-player, multiplayer|Guitar Hero
5319|2009|Halo 3: ODST|1|4|Best Original Score|['Best Xbox 360 Game', 'Best Shooter', 'Best Multiplayer Game', 'Best Original Score']|0|Bungie|Microsoft Game Studios|||September|First-person shooter|Single-playerMultiplayer|Halo
5400|2009|Killzone 2|0|3|0|['Best PS3 Game', 'Best Shooter', 'Best Graphics']|0|Guerrilla Games|Sony Computer Entertainment|||February|First-person shooter|Single-player, multiplayer|Killzone
5418|2009|Left 4 Dead 2|1|5|Best Xbox 360 Game|['Game of the Year', 'Best Xbox 360 Game', 'Best PC Game', 'Best Shooter', 'Best Multiplayer Game']|0|Valve Corporation|Valve Corporation|Source||July|First-person shooter, survival horror|Single-player, multiplayer|Left 4 Dead
5450|2009|Madden NFL 10|0|1|0|Best Team Sports Game|0|EA Tiburon|EA Sports|||April|Sports|Single-player |Madden NFL
5451|2009|MadWorld|0|1|0|Best Wii Game|0|PlatinumGames|SegaJP: Spike[1]|||February|Beat 'em up, hack and slash|Single-player, multiplayer|
5465|2009|Mario & Luigi: Bowser's Inside Story|0|2|0|['Best Handheld Game', 'Best RPG']|0|AlphaDreamArzest (3DS Giant Battles)|Nintendo|||January|Role-playing|Single-player|Mario & Luigi
5532|2009|NBA 2K10|0|1|0|Best Team Sports Game|0|Visual Concepts|2K Sports|||October|Sports|Single-player, multiplayer|NBA 2K
5538|2009|Need for Speed: Shift|0|1|0|Best Driving Game|0|Slightly Mad StudiosEA Bright Light (PSP)|Electronic Arts|||September|Racing|Single-player, multiplayer|Need for Speed
5544|2009|New Super Mario Bros. Wii|1|1|Best Wii Game|Best Wii Game|0|Nintendo EAD|Nintendo|||November|Platform|Single-player, multiplayer|Super Mario
5547|2009|NHL 10|1|1|Best Team Sports Game|Best Team Sports Game|0|EA Canada|Electronic Arts|||September|Sports|Single-playerMultiplayer (online, local)|NHL series
