|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
170|Bitstep|Hudson|RenderWare||December|Fighting|Single-player, multiplayer|
171|TakaraHigh Voltage Software (PS2 version)|TakaraNA / PAL: Atari (PS2 version)|||March|Strategy|Single-player, multiplayer|
172||||||||
173|Atari Hunt Valley|Atari, Inc.|||September|Hack and slash|Single-playerCo-op multiplayer|
174||Koei|||June|Tactical role-playing game|Single-player|Dynasty Warriors
175|Omega Force|Koei|||January|Hack and Slash Tactical action[1]|Single-player, Multiplayer|Dynasty Warriors
176|Bethesda Game Studios|Bethesda Softworks|Gamebryo||February|Action role-playing|Single-player|The Elder Scrolls
177||Vir2L Studios|||August|Role-playing|Single-player|
178|Monte Cristo Multimedia|DreamCatcher Interactive|||July|Simulation||
179|||||1972, 1973, 1984, 2003|4X, wargame||
180|Stainless Steel Studios|Activision|Titan||October|Real-time strategy|Single-player, multiplayer|Empire Earth
181|Avaria Corporation|SummitSoft Entertainment|||July|MMOFPS/MMORPG|Cooperative, competitive MMO|
182|||||September|Simulation||
183||Dreamcatcher Interactive|||August|Vehicle simulation game|Single-player|
184||Pangea Software, Beatshapers (PlayStation Minis)|||Mac OS 9' Mac OS X2003Windows2003iOS2008 PlayStation Minis2010Windows Phone 72011 Android2011|Puzzle|Single player|
185|Shiny Entertainment|Infogrames[a]|||May|Action-adventure, fighting|Single-player, multiplayer|The Matrix
186|MindArk|MindArk|CryEngine 2||January|Massively multiplayer online role-playing game, first-person shooter|Online multiplayer|
187|Kush Games|Sega|||November|Sports|Single playerMultiplayer (up to 4 players)Online multiplayer|
188|Visual Concepts|Sega|||October|Sports|Single-player, multiplayer|NBA 2K
189||Sega|||September|Sports|Single player, multiplayer|
190||Sega|||September|Sports|Single player, multiplayer|
191|Radu Privantu||||February|MMORPG|Multiplayer|
192|CCP Games|Simon & SchusterAtari (2008)[1]|||May|Space simulation, massively multiplayer online role-playing game|Multiplayer|
193|Sony Online Entertainment|Sony Online Entertainment (North America)SCEE (Europe)|||February|MMORPG|Multiplayer|
194|Clap Hanz|Sony Computer Entertainment|||August|Sports|Single-player, multiplayer|Everybody's Golf
195|VIS Entertainment|THQ|||May|Action, hack and slash|Single-player|
196|HyperDevbox Japan, Octopus Studio (iPhone port)|HyperDevbox Japan, Conspiracy Entertainment, 505 Games, Metro3D|||May|Rail shooter|Single-player|
197|SCE London Studio|Sony Computer Entertainment|||April|Dancing|Single-player, multiplayer|EyeToy
198|SCE London Studio|Sony Computer Entertainment|||February|Party|Single-player, multiplayer|EyeToy
199|Amusement Vision|Nintendo|||July|Racing|Single-player, multiplayer|F-Zero
200|Suzak Inc.|Nintendo|||June|Racing|Single-player, multiplayer|F-Zero
201||EA Sports|||June|||EA Sports F1 series 
202|Blitz Games(PS2, NGC, Xbox)Helixe (Game Boy Advance)Gorilla (Windows)|THQ|BlitzTech||November|Action game|Single-player|The Fairly OddParents
203|Tecmo|"
Tecmo
JP: TecmoNA: TecmoPAL: Ubisoft (PS2)EU: Microsoft Game Studios (Xbox)
"|||February|Survival horror|Single-player|Fatal Frame
204||||||||
